ranking,score,movie_name,score_num
1,9.7,肖申克的救赎,1998076人评价
2,9.6,霸王别姬,1479358人评价
3,9.5,阿甘正传,1513905人评价
4,9.4,这个杀手不太冷,1707496人评价
5,9.5,美丽人生,953878人评价
6,9.4,泰坦尼克号,1463376人评价
7,9.4,千与千寻,1565570人评价
8,9.5,辛德勒的名单,772055人评价
9,9.3,盗梦空间,1449598人评价
10,9.4,忠犬八公的故事,1004985人评价
11,9.3,海上钢琴师,1208076人评价
12,9.3,楚门的世界,1073562人评价
13,9.2,三傻大闹宝莱坞,1341309人评价
14,9.3,机器人总动员,955762人评价
15,9.3,放牛班的春天,933877人评价
16,9.3,星际穿越,1078791人评价
17,9.2,大话西游之大圣娶亲,1057849人评价
18,9.3,熔炉,651143人评价
19,9.2,疯狂动物城,1260628人评价
20,9.2,无间道,861192人评价
21,9.2,龙猫,898149人评价
22,9.3,教父,656077人评价
23,9.1,当幸福来敲门,1072498人评价
24,9.1,怦然心动,1246440人评价
25,9.2,触不可及,701289人评价
26,9.2,蝙蝠侠：黑暗骑士,722187人评价
27,9.6,控方证人,276267人评价
28,9.2,活着,559968人评价
29,9.3,乱世佳人,480201人评价
30,9.1,寻梦环游记,1050164人评价
31,9.2,末代皇帝,502371人评价
32,9.0,摔跤吧！爸爸,1096377人评价
33,9.2,指环王3：王者无敌,531272人评价
34,9.1,何以为家,636040人评价
35,9.1,少年派的奇幻漂流,1013812人评价
36,9.0,飞屋环游记,943971人评价
37,9.4,十二怒汉,319158人评价
38,9.2,鬼子来了,435324人评价
39,9.1,天空之城,598912人评价
40,9.0,大话西游之月光宝盒,848634人评价
41,9.1,哈尔的移动城堡,687534人评价
42,9.2,素媛,434768人评价
43,9.2,天堂电影院,471257人评价
44,9.0,罗马假日,692030人评价
45,9.1,闻香识女人,600684人评价
46,9.2,辩护人,428843人评价
47,9.0,哈利·波特与魔法石,647705人评价
48,9.0,搏击俱乐部,624334人评价
49,9.0,我不是药神,1471022人评价
50,9.1,死亡诗社,491728人评价
51,9.2,教父2,362401人评价
52,9.1,指环王2：双塔奇兵,486150人评价
53,9.0,狮子王,561578人评价
54,9.1,窃听风暴,404486人评价
55,9.3,大闹天宫,266601人评价
56,9.0,指环王1：魔戒再现,547333人评价
57,9.1,两杆大烟枪,431400人评价
58,9.0,美丽心灵,533286人评价
59,9.1,饮食男女,397178人评价
60,9.0,猫鼠游戏,553391人评价
61,9.1,飞越疯人院,426029人评价
62,9.0,黑客帝国,545279人评价
63,9.2,钢琴家,359052人评价
64,8.9,V字仇杀队,749870人评价
65,8.9,本杰明·巴顿奇事,696484人评价
66,8.8,看不见的客人,814251人评价
67,8.8,让子弹飞,1131938人评价
68,8.9,西西里的美丽传说,684097人评价
69,9.2,小鞋子,279837人评价
70,9.3,海豚湾,282187人评价
71,9.0,拯救大兵瑞恩,450422人评价
72,8.9,情书,640166人评价
73,9.1,穿条纹睡衣的男孩,345069人评价
74,9.0,音乐之声,418268人评价
75,9.2,美国往事,296055人评价
76,8.9,绿皮书,1049185人评价
77,8.9,致命魔术,596057人评价
78,9.2,海蒂和爷爷,255819人评价
79,8.8,低俗小说,590823人评价
80,8.8,七宗罪,692530人评价
81,8.8,沉默的羔羊,589447人评价
82,8.8,蝴蝶效应,655243人评价
83,8.9,春光乍泄,442514人评价
84,8.8,禁闭岛,655874人评价
85,8.9,被嫌弃的松子的一生,529277人评价
86,8.9,心灵捕手,489443人评价
87,8.8,布达佩斯大饭店,620102人评价
88,8.7,阿凡达,939112人评价
89,8.7,剪刀手爱德华,794674人评价
90,8.9,勇敢的心,439880人评价
91,9.3,摩登时代,194347人评价
92,8.7,天使爱美丽,760242人评价
93,8.7,喜剧之王,654745人评价
94,8.8,致命ID,550681人评价
95,8.7,加勒比海盗,622741人评价
96,8.8,断背山,527841人评价
97,8.8,杀人回忆,453948人评价
98,9.1,狩猎,245115人评价
99,8.9,幽灵公主,387917人评价
100,8.8,哈利·波特与死亡圣器(下),520549人评价
101,8.9,请以你的名字呼唤我,437031人评价
102,8.8,阳光灿烂的日子,445354人评价
103,8.8,入殓师,445221人评价
104,8.7,重庆森林,561120人评价
105,8.9,第六感,383265人评价
106,9.0,小森林 夏秋篇,290260人评价
107,8.9,7号房的礼物,360379人评价
108,8.7,消失的爱人,630703人评价
109,9.0,红辣椒,269919人评价
110,9.0,小森林 冬春篇,256269人评价
111,8.8,爱在黎明破晓前,413187人评价
112,8.9,侧耳倾听,319067人评价
113,8.9,玛丽和马克思,327777人评价
114,9.0,一一,246192人评价
115,8.6,唐伯虎点秋香,708971人评价
116,8.7,告白,529744人评价
117,8.8,蝙蝠侠：黑暗骑士崛起,502137人评价
118,8.8,大鱼,414016人评价
119,8.8,阳光姐妹淘,449888人评价
120,8.7,倩女幽魂,501209人评价
121,8.9,超脱,319995人评价
122,8.7,射雕英雄传之东成西就,460767人评价
123,8.9,萤火之森,343124人评价
124,8.8,甜蜜蜜,363106人评价
125,8.7,驯龙高手,535450人评价
126,9.1,无人知晓,186496人评价
127,8.7,超能陆战队,692826人评价
128,8.8,幸福终点站,379225人评价
129,8.8,菊次郎的夏天,356683人评价
130,8.8,借东西的小人阿莉埃蒂,378012人评价
131,8.8,爱在日落黄昏时,351708人评价
132,8.8,恐怖直播,438371人评价
133,9.1,完美的世界,174297人评价
134,8.6,神偷奶爸,692280人评价
135,8.7,怪兽电力公司,451021人评价
136,8.8,玩具总动员3,350005人评价
137,8.9,风之谷,277447人评价
138,8.7,血战钢锯岭,569254人评价
139,8.6,功夫,653731人评价
140,8.6,傲慢与偏见,533928人评价
141,8.9,上帝之城,227275人评价
142,8.7,时空恋旅人,383493人评价
143,8.9,教父3,240991人评价
144,9.5,人生果实,88775人评价
145,8.7,电锯惊魂,350417人评价
146,8.9,喜宴,235943人评价
147,9.2,天书奇谭,141138人评价
148,8.8,谍影重重3,303711人评价
149,8.7,英雄本色,349944人评价
150,8.7,被解救的姜戈,430506人评价
151,8.7,岁月神偷,451389人评价
152,9.2,七武士,131306人评价
153,9.1,哪吒闹海,170947人评价
154,8.9,我是山姆,209723人评价
155,8.7,疯狂原始人,611146人评价
156,8.8,纵横四海,283615人评价
157,8.7,头号玩家,997855人评价
158,8.7,三块广告牌,596448人评价
159,8.7,心迷宫,342116人评价
160,8.7,萤火虫之墓,316252人评价
161,8.5,釜山行,784127人评价
162,8.8,达拉斯买家俱乐部,318095人评价
163,8.6,真爱至上,515806人评价
164,8.8,荒蛮故事,291085人评价
165,8.6,东邪西毒,428435人评价
166,8.6,贫民窟的百万富翁,564898人评价
167,8.6,记忆碎片,433795人评价
168,8.7,爆裂鼓手,389912人评价
169,8.4,你的名字。,963010人评价
170,8.6,黑天鹅,626900人评价
171,8.6,花样年华,399396人评价
172,8.9,卢旺达饭店,202968人评价
173,8.7,哈利·波特与阿兹卡班的囚徒,382295人评价
174,9.2,忠犬八公物语,128960人评价
175,8.7,黑客帝国3：矩阵革命,290751人评价
176,8.7,模仿游戏,425392人评价
177,8.7,头脑特工队,410948人评价
178,8.8,一个叫欧维的男人决定去死,253886人评价
179,8.7,雨人,304778人评价
180,8.9,你看起来好像很好吃,243284人评价
181,8.9,未麻的部屋,183356人评价
182,8.6,哈利·波特与密室,401397人评价
183,8.7,无敌破坏王,374519人评价
184,8.5,恋恋笔记本,465229人评价
185,8.6,冰川时代,449873人评价
186,8.8,海街日记,273167人评价
187,8.8,新世界,224200人评价
188,8.6,海边的曼彻斯特,348098人评价
189,8.7,二十二,210016人评价
190,8.9,虎口脱险,167001人评价
191,8.8,房间,280881人评价
192,8.5,恐怖游轮,555790人评价
193,9.0,惊魂记,160219人评价
194,8.6,魔女宅急便,330077人评价
195,8.6,奇迹男孩,408262人评价
196,8.6,人工智能,309852人评价
197,9.0,雨中曲,145611人评价
198,8.5,疯狂的石头,563038人评价
199,8.8,罗生门,214758人评价
200,9.1,海洋,128863人评价
201,8.8,爱在午夜降临前,222052人评价
202,8.7,小偷家族,573786人评价
